当地时间 武汉市(机场),T,Po,P,Pa,U,DD,Ff,ff10,ff3,N,WW,W1,W2,Tn,Tx,Cl,Nh,H,Cm,Ch,VV,Td,RRR,tR,E,Tg,E',sss
27.12.2021 11:00,1.9,777.5,779.9,,36,从西南方吹来的风,1,,,, ,,,,,,,2500或更高，或无云。,,,16,-11.9,,,,,,
27.12.2021 08:00,-3.9,777.7,780.1,,73,从东北偏北方向吹来的风,1,,5,, ,,,-4.4,1.5,,,,,,12,-8,无降水,6,,,,
27.12.2021 05:00,-1,777.4,779.8,,52,从北方吹来的风,1,,,, ,,,,,,,2500或更高，或无云。,,,19,-9.6,,,,,,
27.12.2021 02:00,-0.3,778,780.4,,43,从东北偏北方向吹来的风,2,,,, ,,,,,,,2500或更高，或无云。,,,18,-11.4,,,,,,
26.12.2021 23:00,0.2,779.1,781.5,,40,从北方吹来的风,2,,,, ,,,,,,,2500或更高，或无云。,,,19,-11.8,,,,,,
26.12.2021 20:00,0.4,779.2,781.6,,41,从北方吹来的风,2,,10,, ,,,-1.6,1.5,,,2500或更高，或无云。,,,19,-11.6,无降水,6,,,,
26.12.2021 17:00,0.8,778.9,781.3,,36,从北方吹来的风,3,,,, ,,,,,,,2500或更高，或无云。,,,24,-12.6,,,,,,
26.12.2021 14:00,1.2,779.4,781.8,,34,从东北偏北方向吹来的风,3,,,, ,,,,,,,2500或更高，或无云。,,,25,-12.9,,,,,,
26.12.2021 11:00,0.2,781.2,783.6,,37,从东北偏北方向吹来的风,5,,10,, ,,,-1.6,0.9,,,2500或更高，或无云。,,,26,-12.8,无降水,6,,,,
26.12.2021 08:00,-1.6,780.9,783.3,,50,从东北偏北方向吹来的风,5,,11,, ,,,-1.6,0.9,,,2500或更高，或无云。,,,30,-10.9,无降水,6,,,,
26.12.2021 05:00,-1.4,779.9,782.3,,54,从东北偏北方向吹来的风,5,,11,, ,,,-1.4,1.9,,,1500-2000,,,27,-9.5,无降水,6,,,,
26.12.2021 02:00,-0.7,779.5,781.9,,53,从东北偏北方向吹来的风,5,,11,,间歇性雪，在观测时较弱 ,在整个相应周期内云遮住了一半或以下的天空,在整个相应周期内云遮住了一半或以下的天空,-0.7,2.8,,,1500-2000,,,25,-9.1,无降水,6,,,,
25.12.2021 23:00,-0.3,779.2,781.6,,57,从东北偏北方向吹来的风,4,,11,,小雪 ,,,-0.3,,,,1000-1500,,,21,-7.8,无降水,6,,,,
25.12.2021 20:00,0.1,777.8,780.2,,55,从东北偏北方向吹来的风,5,,10,, ,,,0.1,,,,1000-1500,,,21,-7.9,无降水,6,,,,
25.12.2021 17:00,0.8,776.2,778.6,,55,从东北偏北方向吹来的风,4,,11,, ,,,0.2,,,,1000-1500,,,22,-7.2,无降水,6,,,,
25.12.2021 14:00,0.9,775.3,777.7,,64,从东北方吹来的风,4,,11,,小雨（不冻） ,在整个相应周期内云遮住了一半或以下的天空,在整个相应周期内云遮住了一半或以下的天空,0.2,,,,600-1000,,,15,-5.3,无降水,6,,,,
25.12.2021 11:00,0.4,776.6,779,,74,从东北偏北方向吹来的风,4,,11,,间歇性雨，不冻，在观测时较弱 ,在整个相应周期内云遮住了一半或以下的天空,在整个相应周期内云遮住了一半或以下的天空,0.3,8.5,,,600-1000,,,13,-3.7,0.5,6,,,,
